"location_id","fips","location_name"
102,NA,"United States"
523,1,"Alabama"
524,2,"Alaska"
525,4,"Arizona"
526,5,"Arkansas"
527,6,"California"
528,8,"Colorado"
529,9,"Connecticut"
530,10,"Delaware"
531,11,"District of Columbia"
532,12,"Florida"
533,13,"Georgia"
534,15,"Hawaii"
535,16,"Idaho"
536,17,"Illinois"
537,18,"Indiana"
538,19,"Iowa"
539,20,"Kansas"
540,21,"Kentucky"
541,22,"Louisiana"
542,23,"Maine"
543,24,"Maryland"
544,25,"Massachusetts"
545,26,"Michigan"
546,27,"Minnesota"
547,28,"Mississippi"
548,29,"Missouri"
549,30,"Montana"
550,31,"Nebraska"
551,32,"Nevada"
552,33,"New Hampshire"
553,34,"New Jersey"
554,35,"New Mexico"
555,36,"New York"
556,37,"North Carolina"
557,38,"North Dakota"
558,39,"Ohio"
559,40,"Oklahoma"
560,41,"Oregon"
561,42,"Pennsylvania"
562,44,"Rhode Island"
563,45,"South Carolina"
564,46,"South Dakota"
565,47,"Tennessee"
566,48,"Texas"
567,49,"Utah"
568,50,"Vermont"
569,51,"Virginia"
570,53,"Washington"
571,54,"West Virginia"
572,55,"Wisconsin"
573,56,"Wyoming"
614,1001,"Autauga County"
637,1003,"Baldwin County"
624,1005,"Barbour County"
603,1007,"Bibb County"
588,1009,"Blount County"
622,1011,"Bullock County"
628,1013,"Butler County"
593,1015,"Calhoun County"
605,1017,"Chambers County"
584,1019,"Cherokee County"
608,1021,"Chilton County"
621,1023,"Choctaw County"
627,1025,"Clarke County"
602,1027,"Clay County"
594,1029,"Cleburne County"
633,1031,"Coffee County"
578,1033,"Colbert County"
631,1035,"Conecuh County"
607,1037,"Coosa County"
635,1039,"Covington County"
626,1041,"Crenshaw County"
586,1043,"Cullman County"
634,1045,"Dale County"
615,1047,"Dallas County"
579,1049,"DeKalb County"
612,1051,"Elmore County"
638,1053,"Escambia County"
589,1055,"Etowah County"
595,1057,"Fayette County"
583,1059,"Franklin County"
639,1061,"Geneva County"
604,1063,"Greene County"
609,1065,"Hale County"
630,1067,"Henry County"
636,1069,"Houston County"
577,1071,"Jackson County"
596,1073,"Jefferson County"
590,1075,"Lamar County"
574,1077,"Lauderdale County"
580,1079,"Lawrence County"
613,1081,"Lee County"
575,1083,"Limestone County"
620,1085,"Lowndes County"
616,1087,"Macon County"
576,1089,"Madison County"
617,1091,"Marengo County"
585,1093,"Marion County"
582,1095,"Marshall County"
640,1097,"Mobile County"
629,1099,"Monroe County"
619,1101,"Montgomery County"
581,1103,"Morgan County"
611,1105,"Perry County"
600,1107,"Pickens County"
625,1109,"Pike County"
601,1111,"Randolph County"
618,1113,"Russell County"
592,1115,"Saint Clair County"
599,1117,"Shelby County"
610,1119,"Sumter County"
597,1121,"Talladega County"
606,1123,"Tallapoosa County"
598,1125,"Tuscaloosa County"
591,1127,"Walker County"
632,1129,"Washington County"
623,1131,"Wilcox County"
587,1133,"Winston County"
660,2013,"Aleutians East Borough"
661,2016,"Aleutians West Census Area"
649,2020,"Anchorage Municipality"
648,2050,"Bethel Census Area"
644,2060,"Bristol Bay Borough"
667,2068,"Denali Borough"
651,2070,"Dillingham Census Area"
643,2090,"Fairbanks North Star Borough"
653,2100,"Haines Borough"
4990,2105,"Hoonah-Angoon Census Area"
654,2110,"Juneau City and Borough"
650,2122,"Kenai Peninsula Borough"
658,2130,"Ketchikan Gateway Borough"
655,2150,"Kodiak Island Borough"
44633,2158,"Kusilvak Census Area"
652,2164,"Lake and Peninsula Borough"
646,2170,"Matanuska-Susitna Borough"
645,2180,"Nome Census Area"
641,2185,"North Slope Borough"
642,2188,"Northwest Arctic Borough"
4991,2195,"Petersburg Borough"
4992,2198,"Prince of Wales-Hyder Census Area"
656,2220,"Sitka City and Borough"
4993,2230,"Skagway Municipality"
666,2240,"Southeast Fairbanks Census Area"
