GEOID,NAME,avg_ndvi
19107,Keokuk,0.0433
19189,Winnebago,0.13877111111111112
20093,Kearny,0.08257
20123,Mitchell,-0.019316
20187,Stanton,0.05334285714285714
21005,Anderson,0.8419350000000001
21029,Bullitt,0.8095588235294118
21049,Clark,0.7442777777777778
21059,Daviess,0.5528509433962264
21063,Elliott,0.8721519999999999
21093,Hardin,0.7412378787878788
21097,Harrison,0.807884375
21107,Hopkins,0.7291655172413793
21131,Leslie,0.8422744186046512
21147,McCreary,0.8812111111111111
21151,Madison,0.7858021276595746
21155,Marion,0.754828205128205
21175,Morgan,0.8448214285714286
01001,Autauga,0.4916053571428572
01003,Baldwin,0.4265736842105263
01025,Clarke,0.6333301587301587
01049,DeKalb,0.70218875
01057,Fayette,0.6073952380952381
01073,Jefferson,0.6078589285714288
01097,Mobile,0.4277025641025641
01101,Montgomery,0.7060645569620254
01131,Wilcox,0.6336814814814816
02090,Fairbanks North Star,0.5166631170662906
02180,Nome,0.19549670329670332
02240,Southeast Fairbanks,0.43163043001316365
04001,Apache,0.12501408695652175
04007,Gila,0.14606846473029045
04012,La Paz,0.15937040358744395
04013,Maricopa,0.14614739638682253
05015,Carroll,0.27481044776119407
05019,Clark,0.26089333333333337
05029,Conway,0.323769090909091
05069,Jefferson,0.25661612903225806
05073,Lafayette,0.13991320754716982
05093,Mississippi,0.39425978260869565
05107,Phillips,0.22131369863013703
05117,Prairie,0.3521260273972603
05131,Sebastian,0.11271296296296296
05145,White,0.5391903846153846
06007,Butte,0.327204347826087
06009,Calaveras,0.25323333333333337
06011,Colusa,0.3382357142857143
06017,El Dorado,0.14610161290322582
06019,Fresno,0.16578731942215091
06023,Humboldt,0.2694038860103627
06033,Lake,0.3377007142857143
06037,Los Angeles,0.2412633906633907
06045,Mendocino,0.4581444736842106
06053,Monterey,0.2763955489614244
06083,Santa Barbara,0.4133434306569343
06097,Sonoma,0.534605421686747
06113,Yolo,0.3380272727272728
08023,Costilla,0.013670542635658915
08037,Eagle,-0.0011508287292817682
08043,Fremont,0.04455688622754492
08053,Hinsdale,-0.0016351999999999994
08057,Jackson,-0.005092571428571429
08067,La Plata,0.00015310734463276906
08091,Ouray,0.002277777777777777
08111,San Juan,-0.011936111111111111
09009,New Haven,0.5164426470588235
11001,District of Columbia,0.22435999999999998
12009,Brevard,0.6443021052631579
12023,Columbia,0.5547675
12031,Duval,0.4185185714285714
12041,Gilchrist,0.5126999999999999
12045,Gulf,0.6871886792452832
12071,Lee,0.3818418918918919
12093,Okeechobee,0.4868830985915494
12097,Osceola,0.5195934306569343
12103,Pinellas,0.48403999999999997
12105,Polk,0.5834192982456141
12107,Putnam,0.5018363636363637
12121,Suwannee,0.49878529411764705
12123,Taylor,0.630895283018868
12125,Union,0.42567916666666666
13001,Appling,0.4721666666666667
13007,Baker,0.6424394736842105
13025,Brantley,0.5393976744186048
13029,Bryan,0.5071731707317073
13051,Chatham,0.4573709677419355
13139,Hall,0.7286578947368422
13143,Haralson,0.5448357142857143
13153,Houston,0.5236235294117647
13205,Mitchell,0.5956
13209,Montgomery,0.432132
13215,Muscogee,0.5256863636363637
13219,Oconee,0.507185
13229,Pierce,0.5500971428571428
13263,Talbot,0.6789536585365854
13267,Tattnall,0.5747645833333334
13291,Union,0.8125909090909091
15009,Maui,0.24933500000000003
16003,Adams,0.07461582278481013
16005,Bannock,0.1127289256198347
16013,Blaine,0.03826423841059603
16023,Butte,0.025458984375
16025,Camas,0.05862240000000001
16031,Cassia,0.09021080139372824
16035,Clearwater,0.044283333333333334
16041,Franklin,0.1668178082191781
16043,Fremont,0.011774770642201837
16049,Idaho,0.019937829912023464
16061,Lewis,0.06590166666666668
17003,Alexander,0.6557888888888889
17017,Cass,0.2889465116279071
17027,Clinton,0.563434693877551
17043,DuPage,0.03938205128205128
17109,McDonough,0.07693492063492063
17125,Mason,0.2038135593220339
17153,Pulaski,0.6512842105263159
18003,Allen,0.03383684210526316
18051,Gibson,0.5325785714285715
