"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2008"	"2008"	44	53277	82.6
	"Baldwin County, AL"	"01003"	"2008"	"2008"	123	175827	70.0
	"Barbour County, AL"	"01005"	"2008"	"2008"	19	27808	Unreliable
	"Bibb County, AL"	"01007"	"2008"	"2008"	24	22705	105.7
	"Blount County, AL"	"01009"	"2008"	"2008"	57	57055	99.9
	"Bullock County, AL"	"01011"	"2008"	"2008"	10	10953	Unreliable
	"Butler County, AL"	"01013"	"2008"	"2008"	21	20949	100.2
	"Calhoun County, AL"	"01015"	"2008"	"2008"	144	117274	122.8
	"Chambers County, AL"	"01017"	"2008"	"2008"	39	34563	112.8
	"Cherokee County, AL"	"01019"	"2008"	"2008"	49	25636	191.1
	"Chilton County, AL"	"01021"	"2008"	"2008"	39	43239	90.2
	"Choctaw County, AL"	"01023"	"2008"	"2008"	16	14114	Unreliable
	"Clarke County, AL"	"01025"	"2008"	"2008"	18	26283	Unreliable
	"Clay County, AL"	"01027"	"2008"	"2008"	18	14161	Unreliable
	"Cleburne County, AL"	"01029"	"2008"	"2008"	19	14874	Unreliable
	"Coffee County, AL"	"01031"	"2008"	"2008"	68	48516	140.2
	"Colbert County, AL"	"01033"	"2008"	"2008"	66	54473	121.2
	"Conecuh County, AL"	"01035"	"2008"	"2008"	11	13388	Unreliable
	"Coosa County, AL"	"01037"	"2008"	"2008"	11	11493	Unreliable
	"Covington County, AL"	"01039"	"2008"	"2008"	52	37545	138.5
	"Crenshaw County, AL"	"01041"	"2008"	"2008"	28	13922	201.1
	"Cullman County, AL"	"01043"	"2008"	"2008"	81	80273	100.9
	"Dale County, AL"	"01045"	"2008"	"2008"	58	49871	116.3
	"Dallas County, AL"	"01047"	"2008"	"2008"	42	44265	94.9
	"DeKalb County, AL"	"01049"	"2008"	"2008"	73	70228	103.9
	"Elmore County, AL"	"01051"	"2008"	"2008"	59	77698	75.9
	"Escambia County, AL"	"01053"	"2008"	"2008"	38	37929	100.2
	"Etowah County, AL"	"01055"	"2008"	"2008"	162	104206	155.5
	"Fayette County, AL"	"01057"	"2008"	"2008"	23	17541	131.1
	"Franklin County, AL"	"01059"	"2008"	"2008"	55	31459	174.8
	"Geneva County, AL"	"01061"	"2008"	"2008"	14	26646	Unreliable
	"Hale County, AL"	"01065"	"2008"	"2008"	23	16260	141.5
	"Henry County, AL"	"01067"	"2008"	"2008"	24	17129	140.1
	"Houston County, AL"	"01069"	"2008"	"2008"	102	99183	102.8
	"Jackson County, AL"	"01071"	"2008"	"2008"	88	53525	164.4
	"Jefferson County, AL"	"01073"	"2008"	"2008"	608	656510	92.6
	"Lamar County, AL"	"01075"	"2008"	"2008"	20	14799	135.1
	"Lauderdale County, AL"	"01077"	"2008"	"2008"	109	92202	118.2
	"Lawrence County, AL"	"01079"	"2008"	"2008"	42	34196	122.8
	"Lee County, AL"	"01081"	"2008"	"2008"	75	134524	55.8
	"Limestone County, AL"	"01083"	"2008"	"2008"	64	78835	81.2
	"Macon County, AL"	"01087"	"2008"	"2008"	13	21597	Unreliable
	"Madison County, AL"	"01089"	"2008"	"2008"	258	323526	79.7
	"Marengo County, AL"	"01091"	"2008"	"2008"	14	21331	Unreliable
	"Marion County, AL"	"01093"	"2008"	"2008"	47	30918	152.0
