Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
,"Autauga County, AL",01001,2009.0,2009.0,44.0,54135.0,81.3
,"Baldwin County, AL",01003,2009.0,2009.0,160.0,179406.0,89.2
,"Barbour County, AL",01005,2009.0,2009.0,14.0,27657.0,Unreliable
,"Bibb County, AL",01007,2009.0,2009.0,23.0,22941.0,100.3
,"Blount County, AL",01009,2009.0,2009.0,69.0,57341.0,120.3
,"Butler County, AL",01013,2009.0,2009.0,26.0,20867.0,124.6
,"Calhoun County, AL",01015,2009.0,2009.0,163.0,118363.0,137.7
,"Chambers County, AL",01017,2009.0,2009.0,47.0,34384.0,136.7
,"Cherokee County, AL",01019,2009.0,2009.0,66.0,25854.0,255.3
,"Chilton County, AL",01021,2009.0,2009.0,60.0,43484.0,138.0
,"Choctaw County, AL",01023,2009.0,2009.0,17.0,13976.0,Unreliable
,"Clarke County, AL",01025,2009.0,2009.0,31.0,26038.0,119.1
,"Clay County, AL",01027,2009.0,2009.0,23.0,14006.0,164.2
,"Cleburne County, AL",01029,2009.0,2009.0,19.0,14918.0,Unreliable
,"Coffee County, AL",01031,2009.0,2009.0,52.0,49440.0,105.2
,"Colbert County, AL",01033,2009.0,2009.0,89.0,54426.0,163.5
,"Conecuh County, AL",01035,2009.0,2009.0,16.0,13274.0,Unreliable
,"Coosa County, AL",01037,2009.0,2009.0,12.0,11410.0,Unreliable
,"Covington County, AL",01039,2009.0,2009.0,55.0,37648.0,146.1
,"Crenshaw County, AL",01041,2009.0,2009.0,24.0,14024.0,171.1
,"Cullman County, AL",01043,2009.0,2009.0,104.0,80351.0,129.4
,"Dale County, AL",01045,2009.0,2009.0,51.0,49854.0,102.3
,"Dallas County, AL",01047,2009.0,2009.0,41.0,43759.0,93.7
,"DeKalb County, AL",01049,2009.0,2009.0,90.0,70864.0,127.0
,"Elmore County, AL",01051,2009.0,2009.0,62.0,78632.0,78.8
,"Escambia County, AL",01053,2009.0,2009.0,31.0,38249.0,81.0
,"Etowah County, AL",01055,2009.0,2009.0,166.0,104239.0,159.2
,"Fayette County, AL",01057,2009.0,2009.0,33.0,17310.0,190.6
,"Franklin County, AL",01059,2009.0,2009.0,36.0,31589.0,114.0
,"Geneva County, AL",01061,2009.0,2009.0,31.0,26653.0,116.3
,"Greene County, AL",01063,2009.0,2009.0,10.0,9182.0,Unreliable
,"Hale County, AL",01065,2009.0,2009.0,25.0,16025.0,156.0
,"Henry County, AL",01067,2009.0,2009.0,21.0,17243.0,121.8
,"Houston County, AL",01069,2009.0,2009.0,82.0,100500.0,81.6
,"Jackson County, AL",01071,2009.0,2009.0,77.0,53461.0,144.0
,"Jefferson County, AL",01073,2009.0,2009.0,576.0,658441.0,87.5
,"Lamar County, AL",01075,2009.0,2009.0,21.0,14689.0,143.0
,"Lauderdale County, AL",01077,2009.0,2009.0,122.0,92526.0,131.9
,"Lawrence County, AL",01079,2009.0,2009.0,45.0,34315.0,131.1
,"Lee County, AL",01081,2009.0,2009.0,71.0,138566.0,51.2
,"Limestone County, AL",01083,2009.0,2009.0,53.0,81326.0,65.2
,"Macon County, AL",01087,2009.0,2009.0,21.0,21190.0,99.1
,"Madison County, AL",01089,2009.0,2009.0,267.0,330856.0,80.7
,"Marengo County, AL",01091,2009.0,2009.0,21.0,21170.0,99.2
,"Marion County, AL",01093,2009.0,2009.0,44.0,30646.0,143.6
,"Marshall County, AL",01095,2009.0,2009.0,134.0,92213.0,145.3
,"Mobile County, AL",01097,2009.0,2009.0,349.0,411994.0,84.7
,"Monroe County, AL",01099,2009.0,2009.0,21.0,23218.0,90.4
,"Montgomery County, AL",01101,2009.0,2009.0,167.0,227607.0,73.4
,"Morgan County, AL",01103,2009.0,2009.0,90.0,118954.0,75.7
,"Pickens County, AL",01107,2009.0,2009.0,18.0,19814.0,Unreliable
,"Pike County, AL",01109,2009.0,2009.0,27.0,32560.0,82.9
,"Randolph County, AL",01111,2009.0,2009.0,28.0,22864.0,122.5
,"Russell County, AL",01113,2009.0,2009.0,55.0,52162.0,105.4
,"St. Clair County, AL",01115,2009.0,2009.0,85.0,83009.0,102.4
,"Shelby County, AL",01117,2009.0,2009.0,110.0,192708.0,57.1
,"Sumter County, AL",01119,2009.0,2009.0,14.0,13746.0,Unreliable
,"Talladega County, AL",01121,2009.0,2009.0,104.0,82674.0,125.8
,"Tallapoosa County, AL",01123,2009.0,2009.0,51.0,41831.0,121.9
,"Tuscaloosa County, AL",01125,2009.0,2009.0,168.0,192792.0,87.1
,"Walker County, AL",01127,2009.0,2009.0,97.0,67347.0,144.0
,"Washington County, AL",01129,2009.0,2009.0,13.0,17493.0,Unreliable
,"Wilcox County, AL",01131,2009.0,2009.0,10.0,11870.0,Unreliable
,"Winston County, AL",01133,2009.0,2009.0,41.0,24691.0,166.1
,"Anchorage Borough, AK",02020,2009.0,2009.0,110.0,287677.0,38.2
,"Fairbanks North Star Borough, AK",02090,2009.0,2009.0,48.0,95238.0,50.4
,"Juneau Borough, AK",02110,2009.0,2009.0,14.0,30857.0,Unreliable
,"Kenai Peninsula Borough, AK",02122,2009.0,2009.0,32.0,54796.0,58.4
,"Matanuska-Susitna Borough, AK",02170,2009.0,2009.0,29.0,86885.0,33.4
,"Apache County, AZ",04001,2009.0,2009.0,68.0,71008.0,95.8
,"Cochise County, AZ",04003,2009.0,2009.0,106.0,130081.0,81.5
,"Coconino County, AZ",04005,2009.0,2009.0,74.0,133477.0,55.4
,"Gila County, AZ",04007,2009.0,2009.0,103.0,53561.0,192.3
,"Graham County, AZ",04009,2009.0,2009.0,34.0,37525.0,90.6
,"La Paz County, AZ",04012,2009.0,2009.0,26.0,20514.0,126.7
,"Maricopa County, AZ",04013,2009.0,2009.0,2444.0,3803779.0,64.3
,"Mohave County, AZ",04015,2009.0,2009.0,292.0,199696.0,146.2
,"Navajo County, AZ",04017,2009.0,2009.0,100.0,107571.0,93.0
,"Pima County, AZ",04019,2009.0,2009.0,830.0,975580.0,85.1
,"Pinal County, AZ",04021,2009.0,2009.0,237.0,349830.0,67.7
,"Santa Cruz County, AZ",04023,2009.0,2009.0,20.0,47011.0,42.5
,"Yavapai County, AZ",04025,2009.0,2009.0,258.0,211172.0,122.2
,"Yuma County, AZ",04027,2009.0,2009.0,166.0,193714.0,85.7
,"Arkansas County, AR",05001,2009.0,2009.0,22.0,19134.0,115.0
,"Ashley County, AR",05003,2009.0,2009.0,23.0,21920.0,104.9
,"Baxter County, AR",05005,2009.0,2009.0,75.0,41561.0,180.5
,"Benton County, AR",05007,2009.0,2009.0,155.0,216620.0,71.6
,"Boone County, AR",05009,2009.0,2009.0,36.0,36844.0,97.7
,"Bradley County, AR",05011,2009.0,2009.0,14.0,11538.0,Unreliable
,"Carroll County, AR",05015,2009.0,2009.0,27.0,27158.0,99.4
,"Chicot County, AR",05017,2009.0,2009.0,12.0,11851.0,Unreliable
