county_code,NAME,avg_ndvi,Notes_x,County_x,Year,Year Code,Deaths,Population,Crude Rate,Notes_y,County_y,Heat Wave Days Based on Daily Maximum Temperature
1001.0,Autauga,0.4916053571428572,,"Autauga County, AL",2009.0,2009.0,44.0,54135.0,81.3,,"Autauga County, AL",36
1003.0,Baldwin,0.4265736842105263,,"Baldwin County, AL",2009.0,2009.0,160.0,179406.0,89.2,,"Baldwin County, AL",30
1005.0,Barbour,0.5583311111111112,,"Barbour County, AL",2009.0,2009.0,14.0,27657.0,Unreliable,,"Barbour County, AL",31
1007.0,Bibb,0.5709571428571428,,"Bibb County, AL",2009.0,2009.0,23.0,22941.0,100.3,,"Bibb County, AL",55
1009.0,Blount,0.7395354838709678,,"Blount County, AL",2009.0,2009.0,69.0,57341.0,120.3,,"Blount County, AL",39
1011.0,Bullock,0.6990714285714286,,,,,,,,,"Bullock County, AL",29
1013.0,Butler,0.6813213333333336,,"Butler County, AL",2009.0,2009.0,26.0,20867.0,124.6,,"Butler County, AL",37
1015.0,Calhoun,0.5608625,,"Calhoun County, AL",2009.0,2009.0,163.0,118363.0,137.7,,"Calhoun County, AL",44
1017.0,Chambers,0.535359649122807,,"Chambers County, AL",2009.0,2009.0,47.0,34384.0,136.7,,"Chambers County, AL",36
1019.0,Cherokee,0.5754374999999999,,"Cherokee County, AL",2009.0,2009.0,66.0,25854.0,255.3,,"Cherokee County, AL",30
1021.0,Chilton,0.5211830985915493,,"Chilton County, AL",2009.0,2009.0,60.0,43484.0,138.0,,"Chilton County, AL",48
1023.0,Choctaw,0.5450177777777778,,"Choctaw County, AL",2009.0,2009.0,17.0,13976.0,Unreliable,,"Choctaw County, AL",56
1025.0,Clarke,0.6333301587301587,,"Clarke County, AL",2009.0,2009.0,31.0,26038.0,119.1,,"Clarke County, AL",51
1027.0,Clay,0.5329933333333334,,"Clay County, AL",2009.0,2009.0,23.0,14006.0,164.2,,"Clay County, AL",39
1029.0,Cleburne,0.6107344827586207,,"Cleburne County, AL",2009.0,2009.0,19.0,14918.0,Unreliable,,"Cleburne County, AL",37
1031.0,Coffee,0.6538555555555557,,"Coffee County, AL",2009.0,2009.0,52.0,49440.0,105.2,,"Coffee County, AL",32
1033.0,Colbert,0.6880078125,,"Colbert County, AL",2009.0,2009.0,89.0,54426.0,163.5,,"Colbert County, AL",42
1035.0,Conecuh,0.6313081395348837,,"Conecuh County, AL",2009.0,2009.0,16.0,13274.0,Unreliable,,"Conecuh County, AL",38
1037.0,Coosa,0.5647212121212122,,"Coosa County, AL",2009.0,2009.0,12.0,11410.0,Unreliable,,"Coosa County, AL",41
1039.0,Covington,0.7132876288659793,,"Covington County, AL",2009.0,2009.0,55.0,37648.0,146.1,,"Covington County, AL",26
1041.0,Crenshaw,0.6083052631578948,,"Crenshaw County, AL",2009.0,2009.0,24.0,14024.0,171.1,,"Crenshaw County, AL",34
1043.0,Cullman,0.7404178082191781,,"Cullman County, AL",2009.0,2009.0,104.0,80351.0,129.4,,"Cullman County, AL",39
1045.0,Dale,0.5916767857142858,,"Dale County, AL",2009.0,2009.0,51.0,49854.0,102.3,,"Dale County, AL",36
1047.0,Dallas,0.6525051020408164,,"Dallas County, AL",2009.0,2009.0,41.0,43759.0,93.7,,"Dallas County, AL",53
1049.0,DeKalb,0.70218875,,"DeKalb County, AL",2009.0,2009.0,90.0,70864.0,127.0,,"DeKalb County, AL",35
1051.0,Elmore,0.5587283333333333,,"Elmore County, AL",2009.0,2009.0,62.0,78632.0,78.8,,"Elmore County, AL",30
1053.0,Escambia,0.6363662921348314,,"Escambia County, AL",2009.0,2009.0,31.0,38249.0,81.0,,"Escambia County, AL",36
1055.0,Etowah,0.6385679245283018,,"Etowah County, AL",2009.0,2009.0,166.0,104239.0,159.2,,"Etowah County, AL",38
1057.0,Fayette,0.6073952380952381,,"Fayette County, AL",2009.0,2009.0,33.0,17310.0,190.6,,"Fayette County, AL",43
1059.0,Franklin,0.655711111111111,,"Franklin County, AL",2009.0,2009.0,36.0,31589.0,114.0,,"Franklin County, AL",45
1061.0,Geneva,0.6749071428571429,,"Geneva County, AL",2009.0,2009.0,31.0,26653.0,116.3,,"Geneva County, AL",32
1063.0,Greene,0.5052349206349206,,"Greene County, AL",2009.0,2009.0,10.0,9182.0,Unreliable,,"Greene County, AL",56
1065.0,Hale,0.5405606060606062,,"Hale County, AL",2009.0,2009.0,25.0,16025.0,156.0,,"Hale County, AL",58
1067.0,Henry,0.5452301886792452,,"Henry County, AL",2009.0,2009.0,21.0,17243.0,121.8,,"Henry County, AL",31
