"Notes"	"County"	"County Code"	"Year"	"Year Code"	Heat Wave Days Based on Daily Maximum Temperature	Heat Wave Days Based on Daily Maximum Heat Index	Heat Wave Days Based on Net Daily Heat Stress	Population
	"Autauga County, AL"	"01001"	"2005"	"2005"	0	9	9	49676
	"Autauga County, AL"	"01001"	"2006"	"2006"	15	0	6	51328
	"Autauga County, AL"	"01001"	"2007"	"2007"	26	19	17	52405
	"Autauga County, AL"	"01001"	"2008"	"2008"	7	4	2	53277
	"Autauga County, AL"	"01001"	"2009"	"2009"	36	13	11	54135
	"Autauga County, AL"	"01001"	"2010"	"2010"	18	30	32	54571
"Total"	"Autauga County, AL"	"01001"			Not Applicable	Not Applicable	Not Applicable	315392
	"Baldwin County, AL"	"01003"	"2005"	"2005"	2	6	10	162183
	"Baldwin County, AL"	"01003"	"2006"	"2006"	12	0	2	168121
	"Baldwin County, AL"	"01003"	"2007"	"2007"	19	16	16	172404
	"Baldwin County, AL"	"01003"	"2008"	"2008"	4	0	0	175827
	"Baldwin County, AL"	"01003"	"2009"	"2009"	30	17	8	179406
	"Baldwin County, AL"	"01003"	"2010"	"2010"	29	33	25	182265
"Total"	"Baldwin County, AL"	"01003"			Not Applicable	Not Applicable	Not Applicable	1040206
	"Barbour County, AL"	"01005"	"2005"	"2005"	0	7	10	28027
	"Barbour County, AL"	"01005"	"2006"	"2006"	9	2	2	27861
	"Barbour County, AL"	"01005"	"2007"	"2007"	24	17	19	27757
	"Barbour County, AL"	"01005"	"2008"	"2008"	4	4	0	27808
	"Barbour County, AL"	"01005"	"2009"	"2009"	31	10	9	27657
	"Barbour County, AL"	"01005"	"2010"	"2010"	30	31	39	27457
"Total"	"Barbour County, AL"	"01005"			Not Applicable	Not Applicable	Not Applicable	166567
	"Bibb County, AL"	"01007"	"2005"	"2005"	2	10	11	22042
	"Bibb County, AL"	"01007"	"2006"	"2006"	16	3	5	22099
	"Bibb County, AL"	"01007"	"2007"	"2007"	35	19	18	22438
	"Bibb County, AL"	"01007"	"2008"	"2008"	9	5	5	22705
	"Bibb County, AL"	"01007"	"2009"	"2009"	55	17	14	22941
	"Bibb County, AL"	"01007"	"2010"	"2010"	18	30	29	22915
"Total"	"Bibb County, AL"	"01007"			Not Applicable	Not Applicable	Not Applicable	135140
	"Blount County, AL"	"01009"	"2005"	"2005"	2	6	8	54624
	"Blount County, AL"	"01009"	"2006"	"2006"	15	7	10	55485
	"Blount County, AL"	"01009"	"2007"	"2007"	41	22	19	56240
	"Blount County, AL"	"01009"	"2008"	"2008"	12	8	8	57055
	"Blount County, AL"	"01009"	"2009"	"2009"	39	13	15	57341
	"Blount County, AL"	"01009"	"2010"	"2010"	13	29	28	57322
"Total"	"Blount County, AL"	"01009"			Not Applicable	Not Applicable	Not Applicable	338067
	"Bullock County, AL"	"01011"	"2005"	"2005"	0	9	8	11011
	"Bullock County, AL"	"01011"	"2006"	"2006"	14	4	5	10776
	"Bullock County, AL"	"01011"	"2007"	"2007"	29	19	17	11011
	"Bullock County, AL"	"01011"	"2008"	"2008"	5	4	0	10953
	"Bullock County, AL"	"01011"	"2009"	"2009"	29	10	9	10987
	"Bullock County, AL"	"01011"	"2010"	"2010"	25	36	38	10914
"Total"	"Bullock County, AL"	"01011"			Not Applicable	Not Applicable	Not Applicable	65652
	"Butler County, AL"	"01013"	"2005"	"2005"	0	6	9	20830
	"Butler County, AL"	"01013"	"2006"	"2006"	13	2	3	20815
	"Butler County, AL"	"01013"	"2007"	"2007"	28	17	17	20894
	"Butler County, AL"	"01013"	"2008"	"2008"	3	2	0	20949
