"Notes"	"County"	"County Code"	Heat Wave Days Based on Daily Maximum Temperature
	"Autauga County, AL"	"01001"	18
	"Baldwin County, AL"	"01003"	29
	"Barbour County, AL"	"01005"	30
	"Bibb County, AL"	"01007"	18
	"Blount County, AL"	"01009"	13
	"Bullock County, AL"	"01011"	25
	"Butler County, AL"	"01013"	33
	"Calhoun County, AL"	"01015"	5
	"Chambers County, AL"	"01017"	15
	"Cherokee County, AL"	"01019"	11
	"Chilton County, AL"	"01021"	19
	"Choctaw County, AL"	"01023"	26
	"Clarke County, AL"	"01025"	47
	"Clay County, AL"	"01027"	11
	"Cleburne County, AL"	"01029"	6
	"Coffee County, AL"	"01031"	39
	"Colbert County, AL"	"01033"	15
	"Conecuh County, AL"	"01035"	37
	"Coosa County, AL"	"01037"	12
	"Covington County, AL"	"01039"	34
	"Crenshaw County, AL"	"01041"	33
	"Cullman County, AL"	"01043"	16
	"Dale County, AL"	"01045"	39
	"Dallas County, AL"	"01047"	23
	"DeKalb County, AL"	"01049"	15
	"Elmore County, AL"	"01051"	16
	"Escambia County, AL"	"01053"	33
	"Etowah County, AL"	"01055"	11
	"Fayette County, AL"	"01057"	16
	"Franklin County, AL"	"01059"	20
	"Geneva County, AL"	"01061"	48
	"Greene County, AL"	"01063"	22
	"Hale County, AL"	"01065"	20
	"Henry County, AL"	"01067"	31
	"Houston County, AL"	"01069"	37
	"Jackson County, AL"	"01071"	11
	"Jefferson County, AL"	"01073"	13
	"Lamar County, AL"	"01075"	24
	"Lauderdale County, AL"	"01077"	16
	"Lawrence County, AL"	"01079"	16
	"Lee County, AL"	"01081"	18
	"Limestone County, AL"	"01083"	12
	"Lowndes County, AL"	"01085"	23
	"Macon County, AL"	"01087"	24
	"Madison County, AL"	"01089"	12
	"Marengo County, AL"	"01091"	26
	"Marion County, AL"	"01093"	21
	"Marshall County, AL"	"01095"	11
	"Mobile County, AL"	"01097"	31
	"Monroe County, AL"	"01099"	37
	"Montgomery County, AL"	"01101"	25
	"Morgan County, AL"	"01103"	15
	"Perry County, AL"	"01105"	23
	"Pickens County, AL"	"01107"	24
	"Pike County, AL"	"01109"	32
	"Randolph County, AL"	"01111"	14
	"Russell County, AL"	"01113"	24
	"St. Clair County, AL"	"01115"	12
	"Shelby County, AL"	"01117"	12
