Notes,County,County Code,Heat Wave Days Based on Daily Maximum Temperature,year
,"Autauga County, AL",01001,7,2008
,"Baldwin County, AL",01003,4,2008
,"Barbour County, AL",01005,4,2008
,"Bibb County, AL",01007,9,2008
,"Blount County, AL",01009,12,2008
,"Bullock County, AL",01011,5,2008
,"Butler County, AL",01013,3,2008
,"Calhoun County, AL",01015,9,2008
,"Chambers County, AL",01017,4,2008
,"Cherokee County, AL",01019,10,2008
,"Chilton County, AL",01021,7,2008
,"Choctaw County, AL",01023,3,2008
,"Clarke County, AL",01025,3,2008
,"Clay County, AL",01027,6,2008
,"Cleburne County, AL",01029,9,2008
,"Coffee County, AL",01031,2,2008
,"Colbert County, AL",01033,10,2008
,"Conecuh County, AL",01035,4,2008
,"Coosa County, AL",01037,7,2008
,"Covington County, AL",01039,2,2008
,"Crenshaw County, AL",01041,3,2008
,"Cullman County, AL",01043,11,2008
,"Dale County, AL",01045,0,2008
,"Dallas County, AL",01047,5,2008
,"DeKalb County, AL",01049,13,2008
,"Elmore County, AL",01051,7,2008
,"Escambia County, AL",01053,4,2008
,"Etowah County, AL",01055,11,2008
,"Fayette County, AL",01057,12,2008
,"Franklin County, AL",01059,10,2008
,"Geneva County, AL",01061,0,2008
,"Greene County, AL",01063,9,2008
,"Hale County, AL",01065,9,2008
,"Henry County, AL",01067,0,2008
,"Houston County, AL",01069,0,2008
,"Jackson County, AL",01071,16,2008
,"Jefferson County, AL",01073,12,2008
,"Lamar County, AL",01075,12,2008
,"Lauderdale County, AL",01077,10,2008
,"Lawrence County, AL",01079,10,2008
,"Lee County, AL",01081,6,2008
,"Limestone County, AL",01083,10,2008
,"Lowndes County, AL",01085,5,2008
,"Macon County, AL",01087,6,2008
,"Madison County, AL",01089,14,2008
,"Marengo County, AL",01091,7,2008
,"Marion County, AL",01093,11,2008
,"Marshall County, AL",01095,13,2008
,"Mobile County, AL",01097,4,2008
,"Monroe County, AL",01099,5,2008
,"Montgomery County, AL",01101,5,2008
,"Morgan County, AL",01103,10,2008
,"Perry County, AL",01105,7,2008
,"Pickens County, AL",01107,10,2008
,"Pike County, AL",01109,2,2008
,"Randolph County, AL",01111,4,2008
,"Russell County, AL",01113,5,2008
,"St. Clair County, AL",01115,12,2008
,"Shelby County, AL",01117,9,2008
,"Sumter County, AL",01119,5,2008
,"Talladega County, AL",01121,9,2008
,"Tallapoosa County, AL",01123,5,2008
,"Tuscaloosa County, AL",01125,11,2008
,"Walker County, AL",01127,12,2008
,"Washington County, AL",01129,2,2008
,"Wilcox County, AL",01131,5,2008
,"Winston County, AL",01133,11,2008
,"Apache County, AZ",04001,3,2008
,"Cochise County, AZ",04003,6,2008
,"Coconino County, AZ",04005,2,2008
,"Gila County, AZ",04007,2,2008
,"Graham County, AZ",04009,2,2008
,"Greenlee County, AZ",04011,0,2008
,"La Paz County, AZ",04012,11,2008
,"Maricopa County, AZ",04013,13,2008
,"Mohave County, AZ",04015,7,2008
,"Navajo County, AZ",04017,3,2008
,"Pima County, AZ",04019,12,2008
,"Pinal County, AZ",04021,10,2008
,"Santa Cruz County, AZ",04023,9,2008
,"Yavapai County, AZ",04025,5,2008
,"Yuma County, AZ",04027,13,2008
,"Arkansas County, AR",05001,10,2008
,"Ashley County, AR",05003,10,2008
,"Baxter County, AR",05005,4,2008
,"Benton County, AR",05007,2,2008
,"Boone County, AR",05009,2,2008
,"Bradley County, AR",05011,11,2008
,"Calhoun County, AR",05013,12,2008
,"Carroll County, AR",05015,2,2008
,"Chicot County, AR",05017,6,2008
,"Clark County, AR",05019,6,2008
,"Clay County, AR",05021,5,2008
,"Cleburne County, AR",05023,5,2008
,"Cleveland County, AR",05025,10,2008
,"Columbia County, AR",05027,10,2008
,"Conway County, AR",05029,2,2008
,"Craighead County, AR",05031,5,2008
,"Crawford County, AR",05033,4,2008
,"Crittenden County, AR",05035,0,2008
,"Cross County, AR",05037,2,2008
,"Dallas County, AR",05039,7,2008
,"Desha County, AR",05041,9,2008
,"Drew County, AR",05043,10,2008
,"Faulkner County, AR",05045,4,2008
,"Franklin County, AR",05047,4,2008
,"Fulton County, AR",05049,5,2008
,"Garland County, AR",05051,4,2008
,"Grant County, AR",05053,3,2008
,"Greene County, AR",05055,6,2008
,"Hempstead County, AR",05057,6,2008
,"Hot Spring County, AR",05059,4,2008
,"Howard County, AR",05061,6,2008
,"Independence County, AR",05063,5,2008
,"Izard County, AR",05065,4,2008
,"Jackson County, AR",05067,5,2008
,"Jefferson County, AR",05069,7,2008
,"Johnson County, AR",05071,0,2008
,"Lafayette County, AR",05073,8,2008
,"Lawrence County, AR",05075,5,2008
,"Lee County, AR",05077,6,2008
,"Lincoln County, AR",05079,10,2008
,"Little River County, AR",05081,6,2008
,"Logan County, AR",05083,0,2008
