County,FIPS Code,Year,Deaths,Population_x,Crude Rate,Heat Wave Days Based on Daily Maximum Temperature,Heat Wave Days Based on Daily Maximum Heat Index,Heat Wave Days Based on Net Daily Heat Stress,2013 code
"Autauga County, AL",1001,2005,38.0,49676.0,76.5,0.0,9.0,9.0,3
"Autauga County, AL",1001,2006,39.0,51328.0,76.0,15.0,0.0,6.0,3
"Autauga County, AL",1001,2007,39.0,52405.0,74.4,26.0,19.0,17.0,3
"Autauga County, AL",1001,2008,44.0,53277.0,82.6,7.0,4.0,2.0,3
"Autauga County, AL",1001,2009,44.0,54135.0,81.3,36.0,13.0,11.0,3
"Autauga County, AL",1001,2010,46.0,54571.0,84.3,18.0,30.0,32.0,3
"Baldwin County, AL",1003,2005,120.0,162183.0,74.0,2.0,6.0,10.0,4
"Baldwin County, AL",1003,2006,115.0,168121.0,68.4,12.0,0.0,2.0,4
"Baldwin County, AL",1003,2007,130.0,172404.0,75.4,19.0,16.0,16.0,4
"Baldwin County, AL",1003,2008,123.0,175827.0,70.0,4.0,0.0,0.0,4
"Baldwin County, AL",1003,2009,160.0,179406.0,89.2,30.0,17.0,8.0,4
"Baldwin County, AL",1003,2010,178.0,182265.0,97.7,29.0,33.0,25.0,4
"Barbour County, AL",1005,2005,29.0,28027.0,103.5,0.0,7.0,10.0,6
"Barbour County, AL",1005,2006,34.0,27861.0,122.0,9.0,2.0,2.0,6
"Barbour County, AL",1005,2007,20.0,27757.0,72.1,24.0,17.0,19.0,6
"Bibb County, AL",1007,2007,22.0,22438.0,98.0,35.0,19.0,18.0,2
"Bibb County, AL",1007,2008,24.0,22705.0,105.7,9.0,5.0,5.0,2
"Bibb County, AL",1007,2009,23.0,22941.0,100.3,55.0,17.0,14.0,2
"Bibb County, AL",1007,2010,23.0,22915.0,100.4,18.0,30.0,29.0,2
"Blount County, AL",1009,2005,64.0,54624.0,117.2,2.0,6.0,8.0,2
"Blount County, AL",1009,2006,57.0,55485.0,102.7,15.0,7.0,10.0,2
"Blount County, AL",1009,2007,59.0,56240.0,104.9,41.0,22.0,19.0,2
"Blount County, AL",1009,2008,57.0,57055.0,99.9,12.0,8.0,8.0,2
"Blount County, AL",1009,2009,69.0,57341.0,120.3,39.0,13.0,15.0,2
"Blount County, AL",1009,2010,77.0,57322.0,134.3,13.0,29.0,28.0,2
"Butler County, AL",1013,2005,35.0,20830.0,168.0,0.0,6.0,9.0,6
"Butler County, AL",1013,2006,27.0,20815.0,129.7,13.0,2.0,3.0,6
"Butler County, AL",1013,2007,24.0,20894.0,114.9,28.0,17.0,17.0,6
"Butler County, AL",1013,2008,21.0,20949.0,100.2,3.0,2.0,0.0,6
"Butler County, AL",1013,2009,26.0,20867.0,124.6,37.0,13.0,10.0,6
"Butler County, AL",1013,2010,20.0,20947.0,95.5,33.0,37.0,33.0,6
"Calhoun County, AL",1015,2005,139.0,114477.0,121.4,0.0,9.0,9.0,4
"Calhoun County, AL",1015,2006,131.0,115388.0,113.5,12.0,8.0,13.0,4
"Calhoun County, AL",1015,2007,147.0,116211.0,126.5,41.0,19.0,20.0,4
"Calhoun County, AL",1015,2008,144.0,117274.0,122.8,9.0,6.0,8.0,4
"Calhoun County, AL",1015,2009,163.0,118363.0,137.7,44.0,18.0,17.0,4
"Calhoun County, AL",1015,2010,198.0,118572.0,167.0,5.0,29.0,29.0,4
"Chambers County, AL",1017,2005,38.0,35279.0,107.7,0.0,8.0,9.0,5
"Chambers County, AL",1017,2006,26.0,34945.0,74.4,10.0,3.0,6.0,5
"Chambers County, AL",1017,2007,35.0,34847.0,100.4,31.0,18.0,19.0,5
"Chambers County, AL",1017,2008,39.0,34563.0,112.8,4.0,6.0,6.0,5
"Chambers County, AL",1017,2009,47.0,34384.0,136.7,36.0,15.0,15.0,5
"Chambers County, AL",1017,2010,40.0,34215.0,116.9,15.0,35.0,32.0,5
"Cherokee County, AL",1019,2005,40.0,25031.0,159.8,2.0,9.0,7.0,6
"Cherokee County, AL",1019,2006,39.0,25466.0,153.1,15.0,8.0,12.0,6
"Cherokee County, AL",1019,2007,39.0,25553.0,152.6,38.0,19.0,20.0,6
"Cherokee County, AL",1019,2008,49.0,25636.0,191.1,10.0,5.0,5.0,6
